Data,Valoare EUR (lei),Variatie (lei),Variatie (%)
2 Sept. 2025,5.0781,0.0056,0.11%
1 Sept. 2025,5.0725,0.0003,0.01%
29 Aug. 2025,5.0722,0.005,0.10%
28 Aug. 2025,5.0672,0.0043,0.08%
27 Aug. 2025,5.0629,0.0077,0.15%
26 Aug. 2025,5.0552,0.0013,0.03%
25 Aug. 2025,5.0539,-0.0006,-0.01%
22 Aug. 2025,5.0545,-0.0033,-0.07%
21 Aug. 2025,5.0578,-0.0033,-0.07%
20 Aug. 2025,5.0611,0.0038,0.08%
19 Aug. 2025,5.0573,-0.0015,-0.03%
18 Aug. 2025,5.0588,-0.004,-0.08%
14 Aug. 2025,5.0628,-0.0005,-0.01%
13 Aug. 2025,5.0633,-0.005,-0.10%
12 Aug. 2025,5.0683,0.0007,0.01%
11 Aug. 2025,5.0676,-0.0035,-0.07%
8 Aug. 2025,5.0711,-0.0025,-0.05%
7 Aug. 2025,5.0736,-0.0011,-0.02%
6 Aug. 2025,5.0747,-0.0002,0.00%
5 Aug. 2025,5.0749,0.0007,0.01%
4 Aug. 2025,5.0742,-0.0028,-0.06%
1 Aug. 2025,5.077,0.0006,0.01%
31 Iul. 2025,5.0764,-0.0006,-0.01%
30 Iul. 2025,5.077,0.0019,0.04%
29 Iul. 2025,5.0751,0.0047,0.09%
28 Iul. 2025,5.0704,-0.0004,-0.01%
25 Iul. 2025,5.0708,0.0016,0.03%
24 Iul. 2025,5.0692,-0.0001,0.00%
23 Iul. 2025,5.0693,-0.0012,-0.02%
22 Iul. 2025,5.0705,0.0002,0.00%
21 Iul. 2025,5.0703,-0.0033,-0.07%
18 Iul. 2025,5.0736,0.0012,0.02%
17 Iul. 2025,5.0724,0.0002,0.00%
16 Iul. 2025,5.0722,-0.0076,-0.15%
15 Iul. 2025,5.0798,0.0003,0.01%
14 Iul. 2025,5.0795,-0.0015,-0.03%
11 Iul. 2025,5.081,0.0036,0.07%
10 Iul. 2025,5.0774,0.0015,0.03%
9 Iul. 2025,5.0759,0.0082,0.16%
8 Iul. 2025,5.0677,0.0032,0.06%
7 Iul. 2025,5.0645,0.0045,0.09%
4 Iul. 2025,5.06,-0.0003,-0.01%
3 Iul. 2025,5.0603,-0.0062,-0.12%
2 Iul. 2025,5.0665,-0.0107,-0.21%
1 Iul. 2025,5.0772,-0.0005,-0.01%
30 Iun. 2025,5.0777,-0.0003,-0.01%
27 Iun. 2025,5.078,0.0063,0.12%
26 Iun. 2025,5.0717,0.0179,0.35%
25 Iun. 2025,5.0538,0.0016,0.03%
24 Iun. 2025,5.0522,0.0069,0.14%
23 Iun. 2025,5.0453,-0.0019,-0.04%
20 Iun. 2025,5.0472,0.0155,0.31%
19 Iun. 2025,5.0317,-0.0008,-0.02%
18 Iun. 2025,5.0325,0.0062,0.12%
17 Iun. 2025,5.0263,-0.0027,-0.05%
16 Iun. 2025,5.029,-0.003,-0.06%
13 Iun. 2025,5.032,0.0029,0.06%
12 Iun. 2025,5.0291,0.004,0.08%
11 Iun. 2025,5.0251,-0.0115,-0.23%
10 Iun. 2025,5.0366,-0.0056,-0.11%
6 Iun. 2025,5.0422,-0.0115,-0.23%
5 Iun. 2025,5.0537,-0.0021,-0.04%
4 Iun. 2025,5.0558,-0.0029,-0.06%
3 Iun. 2025,5.0587,0.0015,0.03%
2 Iun. 2025,5.0572,-0.0067,-0.13%
30 Mai 2025,5.0639,-0.0028,-0.06%
29 Mai 2025,5.0667,0.0114,0.23%
28 Mai 2025,5.0553,-0.0072,-0.14%
27 Mai 2025,5.0625,0.0013,0.03%
26 Mai 2025,5.0612,0.0062,0.12%
23 Mai 2025,5.055,-0.0014,-0.03%
22 Mai 2025,5.0564,-0.0166,-0.33%
21 Mai 2025,5.073,-0.0118,-0.23%
20 Mai 2025,5.0848,0.0533,1.06%
19 Mai 2025,5.0315,-0.0718,-1.41%
16 Mai 2025,5.1033,0.0001,0.00%
15 Mai 2025,5.1032,-0.0004,-0.01%
14 Mai 2025,5.1036,0.0045,0.09%
13 Mai 2025,5.0991,-0.0002,0.00%
12 Mai 2025,5.0993,-0.0172,-0.34%
9 Mai 2025,5.1165,-0.0057,-0.11%
8 Mai 2025,5.1222,0.0231,0.45%
7 Mai 2025,5.0991,0.0613,1.22%
6 Mai 2025,5.0378,0.0603,1.21%
5 Mai 2025,4.9775,0.0002,0.00%
2 Mai 2025,4.9773,-0.0002,0.00%
30 Apr. 2025,4.9775,0.0001,0.00%
29 Apr. 2025,4.9774,-0.0001,0.00%
28 Apr. 2025,4.9775,0.0001,0.00%
25 Apr. 2025,4.9774,0.0002,0.00%
24 Apr. 2025,4.9772,-0.0003,-0.01%
23 Apr. 2025,4.9775,0.0001,0.00%
22 Apr. 2025,4.9774,0.0001,0.00%
17 Apr. 2025,4.9773,-0.0002,0.00%
16 Apr. 2025,4.9775,0.0001,0.00%
15 Apr. 2025,4.9774,-0.0001,0.00%
14 Apr. 2025,4.9775,0.0001,0.00%
11 Apr. 2025,4.9774,0.0002,0.00%
10 Apr. 2025,4.9772,-0.0003,-0.01%
9 Apr. 2025,4.9775,0.0003,0.01%
8 Apr. 2025,4.9772,-0.0002,0.00%
7 Apr. 2025,4.9774,0.0004,0.01%
4 Apr. 2025,4.977,-0.0002,0.00%
3 Apr. 2025,4.9772,-0.0002,0.00%
2 Apr. 2025,4.9774,0.0004,0.01%
1 Apr. 2025,4.977,-0.0001,0.00%
31 Mart. 2025,4.9771,-0.0002,0.00%
28 Mart. 2025,4.9773,0.0001,0.00%
27 Mart. 2025,4.9772,0.0011,0.02%
26 Mart. 2025,4.9761,0.0007,0.01%
25 Mart. 2025,4.9754,-0.0012,-0.02%
24 Mart. 2025,4.9766,-0.0004,-0.01%
21 Mart. 2025,4.977,0.0002,0.00%
20 Mart. 2025,4.9768,-0.0001,0.00%
19 Mart. 2025,4.9769,-0.0005,-0.01%
18 Mart. 2025,4.9774,0.0001,0.00%
17 Mart. 2025,4.9773,0.0005,0.01%
14 Mart. 2025,4.9768,-0.0002,0.00%
13 Mart. 2025,4.977,-0.0001,0.00%
12 Mart. 2025,4.9771,-0.0001,0.00%
11 Mart. 2025,4.9772,0.0006,0.01%
10 Mart. 2025,4.9766,0.001,0.02%
7 Mart. 2025,4.9756,-0.0004,-0.01%
6 Mart. 2025,4.976,-0.001,-0.02%
5 Mart. 2025,4.977,0.0001,0.00%
4 Mart. 2025,4.9769,-0.0005,-0.01%
3 Mart. 2025,4.9774,0.0009,0.02%
28 Feb. 2025,4.9765,-0.0008,-0.02%
27 Feb. 2025,4.9773,-0.0001,0.00%
26 Feb. 2025,4.9774,0.0001,0.00%
25 Feb. 2025,4.9773,0.0003,0.01%
24 Feb. 2025,4.977,-0.0003,-0.01%
21 Feb. 2025,4.9773,0,0%
20 Feb. 2025,4.9773,0.0001,0.00%
19 Feb. 2025,4.9772,0.0001,0.00%
18 Feb. 2025,4.9771,0.0001,0.00%
17 Feb. 2025,4.977,-0.0001,0.00%
14 Feb. 2025,4.9771,-0.0002,0.00%
13 Feb. 2025,4.9773,0.0003,0.01%
12 Feb. 2025,4.977,-0.0001,0.00%
11 Feb. 2025,4.9771,0.0006,0.01%
10 Feb. 2025,4.9765,-0.0002,0.00%
7 Feb. 2025,4.9767,0.0003,0.01%
6 Feb. 2025,4.9764,-0.0002,0.00%
5 Feb. 2025,4.9766,-0.0003,-0.01%
4 Feb. 2025,4.9769,0.0003,0.01%
3 Feb. 2025,4.9766,-0.0001,0.00%
31 Ian. 2025,4.9767,0.0006,0.01%
30 Ian. 2025,4.9761,0.0002,0.00%
29 Ian. 2025,4.9759,0.0011,0.02%
28 Ian. 2025,4.9748,-0.0008,-0.02%
27 Ian. 2025,4.9756,-0.0007,-0.01%
23 Ian. 2025,4.9763,-0.0005,-0.01%
22 Ian. 2025,4.9768,0.0004,0.01%
21 Ian. 2025,4.9764,-0.0001,0.00%
20 Ian. 2025,4.9765,0.0006,0.01%
17 Ian. 2025,4.9759,0.001,0.02%
16 Ian. 2025,4.9749,-0.0001,0.00%
15 Ian. 2025,4.975,0.0008,0.02%
14 Ian. 2025,4.9742,0.0011,0.02%
13 Ian. 2025,4.9731,0.0003,0.01%
10 Ian. 2025,4.9728,-0.0008,-0.02%
9 Ian. 2025,4.9736,-0.0002,0.00%
8 Ian. 2025,4.9738,-0.0011,-0.02%
3 Ian. 2025,4.9749,0.0008,0.02%
31 Dec. 2024,4.9741,-0.0023,-0.05%
30 Dec. 2024,4.9764,-0.0001,0.00%
27 Dec. 2024,4.9765,0.0017,0.03%
24 Dec. 2024,4.9748,-0.0011,-0.02%
23 Dec. 2024,4.9759,-0.0005,-0.01%
20 Dec. 2024,4.9764,0.0015,0.03%
19 Dec. 2024,4.9749,-0.0006,-0.01%
18 Dec. 2024,4.9755,-0.0001,0.00%
17 Dec. 2024,4.9756,-0.0003,-0.01%
16 Dec. 2024,4.9759,0.0027,0.05%
13 Dec. 2024,4.9732,0.0024,0.05%
12 Dec. 2024,4.9708,0.0024,0.05%
11 Dec. 2024,4.9684,-0.0025,-0.05%
10 Dec. 2024,4.9709,-0.0008,-0.02%
9 Dec. 2024,4.9717,-0.0056,-0.11%
6 Dec. 2024,4.9773,0.0002,0.00%
5 Dec. 2024,4.9771,0.0001,0.00%
4 Dec. 2024,4.977,0,0%
3 Dec. 2024,4.977,0.0001,0.00%
2 Dec. 2024,4.9769,-0.0002,0.00%
29 Nov. 2024,4.9771,0.0002,0.00%
28 Nov. 2024,4.9769,0.0004,0.01%
27 Nov. 2024,4.9765,-0.0003,-0.01%
26 Nov. 2024,4.9768,0.0001,0.00%
25 Nov. 2024,4.9767,0.0008,0.02%
22 Nov. 2024,4.9759,-0.0007,-0.01%
21 Nov. 2024,4.9766,0.0004,0.01%
20 Nov. 2024,4.9762,-0.0007,-0.01%
19 Nov. 2024,4.9769,0.0005,0.01%
18 Nov. 2024,4.9764,-0.0001,0.00%
15 Nov. 2024,4.9765,0.0006,0.01%
14 Nov. 2024,4.9759,-0.0005,-0.01%
13 Nov. 2024,4.9764,0.0003,0.01%
12 Nov. 2024,4.9761,0.0012,0.02%
11 Nov. 2024,4.9749,-0.0001,0.00%
8 Nov. 2024,4.975,-0.0007,-0.01%
7 Nov. 2024,4.9757,0.0002,0.00%
6 Nov. 2024,4.9755,0.0005,0.01%
5 Nov. 2024,4.975,0.0002,0.00%
4 Nov. 2024,4.9748,0.0001,0.00%
1 Nov. 2024,4.9747,0.0002,0.00%
31 Oct. 2024,4.9745,-0.0001,0.00%
30 Oct. 2024,4.9746,-0.0001,0.00%
29 Oct. 2024,4.9747,0.0012,0.02%
28 Oct. 2024,4.9735,0.0003,0.01%
25 Oct. 2024,4.9732,-0.0001,0.00%
24 Oct. 2024,4.9733,-0.0002,0.00%
23 Oct. 2024,4.9735,0.0004,0.01%
22 Oct. 2024,4.9731,0.0009,0.02%
21 Oct. 2024,4.9722,-0.0002,0.00%
