"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2017 00:00 - 01/01/2017 01:00","BZN|RO","6145.00","6250.00"
"01/01/2017 01:00 - 01/01/2017 02:00","BZN|RO","5964.00","6030.00"
"01/01/2017 02:00 - 01/01/2017 03:00","BZN|RO","5833.00","5870.00"
"01/01/2017 03:00 - 01/01/2017 04:00","BZN|RO","5784.00","5820.00"
"01/01/2017 04:00 - 01/01/2017 05:00","BZN|RO","5755.00","5760.00"
"01/01/2017 05:00 - 01/01/2017 06:00","BZN|RO","5751.00","5650.00"
"01/01/2017 06:00 - 01/01/2017 07:00","BZN|RO","5705.00","5540.00"
"01/01/2017 07:00 - 01/01/2017 08:00","BZN|RO","5714.00","5600.00"
"01/01/2017 08:00 - 01/01/2017 09:00","BZN|RO","5712.00","5630.00"
"01/01/2017 09:00 - 01/01/2017 10:00","BZN|RO","5681.00","5620.00"
"01/01/2017 10:00 - 01/01/2017 11:00","BZN|RO","5668.00","5600.00"
"01/01/2017 11:00 - 01/01/2017 12:00","BZN|RO","5644.00","5580.00"
"01/01/2017 12:00 - 01/01/2017 13:00","BZN|RO","5654.00","5570.00"
"01/01/2017 13:00 - 01/01/2017 14:00","BZN|RO","5732.00","5680.00"
"01/01/2017 14:00 - 01/01/2017 15:00","BZN|RO","6016.00","6020.00"
"01/01/2017 15:00 - 01/01/2017 16:00","BZN|RO","6767.00","6680.00"
"01/01/2017 16:00 - 01/01/2017 17:00","BZN|RO","6996.00","6900.00"
"01/01/2017 17:00 - 01/01/2017 18:00","BZN|RO","6998.00","6900.00"
"01/01/2017 18:00 - 01/01/2017 19:00","BZN|RO","6895.00","6800.00"
"01/01/2017 19:00 - 01/01/2017 20:00","BZN|RO","6690.00","6600.00"
"01/01/2017 20:00 - 01/01/2017 21:00","BZN|RO","6408.00","6360.00"
"01/01/2017 21:00 - 01/01/2017 22:00","BZN|RO","6118.00","6030.00"
"01/01/2017 22:00 - 01/01/2017 23:00","BZN|RO","5851.00","5700.00"
"01/01/2017 23:00 - 02/01/2017 00:00","BZN|RO","5649.00","5500.00"
"02/01/2017 00:00 - 02/01/2017 01:00","BZN|RO","5558.00","5400.00"
"02/01/2017 01:00 - 02/01/2017 02:00","BZN|RO","5527.00","5380.00"
"02/01/2017 02:00 - 02/01/2017 03:00","BZN|RO","5531.00","5380.00"
"02/01/2017 03:00 - 02/01/2017 04:00","BZN|RO","5615.00","5460.00"
"02/01/2017 04:00 - 02/01/2017 05:00","BZN|RO","5773.00","5600.00"
"02/01/2017 05:00 - 02/01/2017 06:00","BZN|RO","5990.00","5780.00"
"02/01/2017 06:00 - 02/01/2017 07:00","BZN|RO","6218.00","5980.00"
"02/01/2017 07:00 - 02/01/2017 08:00","BZN|RO","6410.00","6140.00"
"02/01/2017 08:00 - 02/01/2017 09:00","BZN|RO","6480.00","6240.00"
"02/01/2017 09:00 - 02/01/2017 10:00","BZN|RO","6440.00","6280.00"
"02/01/2017 10:00 - 02/01/2017 11:00","BZN|RO","6373.00","6250.00"
"02/01/2017 11:00 - 02/01/2017 12:00","BZN|RO","6314.00","6200.00"
"02/01/2017 12:00 - 02/01/2017 13:00","BZN|RO","6285.00","6130.00"
"02/01/2017 13:00 - 02/01/2017 14:00","BZN|RO","6285.00","6200.00"
"02/01/2017 14:00 - 02/01/2017 15:00","BZN|RO","6586.00","6450.00"
"02/01/2017 15:00 - 02/01/2017 16:00","BZN|RO","7313.00","7100.00"
"02/01/2017 16:00 - 02/01/2017 17:00","BZN|RO","7565.00","7350.00"
"02/01/2017 17:00 - 02/01/2017 18:00","BZN|RO","7531.00","7350.00"
"02/01/2017 18:00 - 02/01/2017 19:00","BZN|RO","7428.00","7220.00"
"02/01/2017 19:00 - 02/01/2017 20:00","BZN|RO","7139.00","6950.00"
"02/01/2017 20:00 - 02/01/2017 21:00","BZN|RO","6738.00","6600.00"
"02/01/2017 21:00 - 02/01/2017 22:00","BZN|RO","6333.00","6170.00"
"02/01/2017 22:00 - 02/01/2017 23:00","BZN|RO","6066.00","5860.00"
"02/01/2017 23:00 - 03/01/2017 00:00","BZN|RO","5866.00","5650.00"
"03/01/2017 00:00 - 03/01/2017 01:00","BZN|RO","5775.00","5550.00"
"03/01/2017 01:00 - 03/01/2017 02:00","BZN|RO","5744.00","5520.00"
"03/01/2017 02:00 - 03/01/2017 03:00","BZN|RO","5789.00","5580.00"
"03/01/2017 03:00 - 03/01/2017 04:00","BZN|RO","5973.00","5850.00"
"03/01/2017 04:00 - 03/01/2017 05:00","BZN|RO","6449.00","6330.00"
"03/01/2017 05:00 - 03/01/2017 06:00","BZN|RO","7124.00","7080.00"
"03/01/2017 06:00 - 03/01/2017 07:00","BZN|RO","7650.00","7650.00"
"03/01/2017 07:00 - 03/01/2017 08:00","BZN|RO","7964.00","7920.00"
"03/01/2017 08:00 - 03/01/2017 09:00","BZN|RO","8025.00","7960.00"
"03/01/2017 09:00 - 03/01/2017 10:00","BZN|RO","8032.00","7900.00"
"03/01/2017 10:00 - 03/01/2017 11:00","BZN|RO","8006.00","7800.00"
"03/01/2017 11:00 - 03/01/2017 12:00","BZN|RO","8014.00","7770.00"
"03/01/2017 12:00 - 03/01/2017 13:00","BZN|RO","7935.00","7740.00"
"03/01/2017 13:00 - 03/01/2017 14:00","BZN|RO","7887.00","7700.00"
"03/01/2017 14:00 - 03/01/2017 15:00","BZN|RO","8106.00","7900.00"
"03/01/2017 15:00 - 03/01/2017 16:00","BZN|RO","8685.00","8400.00"
"03/01/2017 16:00 - 03/01/2017 17:00","BZN|RO","8721.00","8620.00"
"03/01/2017 17:00 - 03/01/2017 18:00","BZN|RO","8632.00","8600.00"
"03/01/2017 18:00 - 03/01/2017 19:00","BZN|RO","8441.00","8400.00"
"03/01/2017 19:00 - 03/01/2017 20:00","BZN|RO","8037.00","8000.00"
"03/01/2017 20:00 - 03/01/2017 21:00","BZN|RO","7472.00","7450.00"
"03/01/2017 21:00 - 03/01/2017 22:00","BZN|RO","6951.00","6900.00"
"03/01/2017 22:00 - 03/01/2017 23:00","BZN|RO","6629.00","6620.00"
"03/01/2017 23:00 - 04/01/2017 00:00","BZN|RO","6423.00","6400.00"
"04/01/2017 00:00 - 04/01/2017 01:00","BZN|RO","6334.00","6300.00"
"04/01/2017 01:00 - 04/01/2017 02:00","BZN|RO","6272.00","6250.00"
"04/01/2017 02:00 - 04/01/2017 03:00","BZN|RO","6339.00","6270.00"
"04/01/2017 03:00 - 04/01/2017 04:00","BZN|RO","6518.00","6450.00"
"04/01/2017 04:00 - 04/01/2017 05:00","BZN|RO","6948.00","6900.00"
"04/01/2017 05:00 - 04/01/2017 06:00","BZN|RO","7657.00","7550.00"
"04/01/2017 06:00 - 04/01/2017 07:00","BZN|RO","8131.00","8000.00"
"04/01/2017 07:00 - 04/01/2017 08:00","BZN|RO","8325.00","8250.00"
"04/01/2017 08:00 - 04/01/2017 09:00","BZN|RO","8256.00","8250.00"
"04/01/2017 09:00 - 04/01/2017 10:00","BZN|RO","8201.00","8150.00"
"04/01/2017 10:00 - 04/01/2017 11:00","BZN|RO","8116.00","8150.00"
"04/01/2017 11:00 - 04/01/2017 12:00","BZN|RO","8113.00","8130.00"
"04/01/2017 12:00 - 04/01/2017 13:00","BZN|RO","8046.00","8030.00"
"04/01/2017 13:00 - 04/01/2017 14:00","BZN|RO","8042.00","8000.00"
"04/01/2017 14:00 - 04/01/2017 15:00","BZN|RO","8214.00","8200.00"
"04/01/2017 15:00 - 04/01/2017 16:00","BZN|RO","8808.00","8750.00"
"04/01/2017 16:00 - 04/01/2017 17:00","BZN|RO","8897.00","8900.00"
"04/01/2017 17:00 - 04/01/2017 18:00","BZN|RO","8766.00","8800.00"
"04/01/2017 18:00 - 04/01/2017 19:00","BZN|RO","8616.00","8600.00"
"04/01/2017 19:00 - 04/01/2017 20:00","BZN|RO","8194.00","8200.00"
"04/01/2017 20:00 - 04/01/2017 21:00","BZN|RO","7584.00","7600.00"
"04/01/2017 21:00 - 04/01/2017 22:00","BZN|RO","7046.00","7050.00"
"04/01/2017 22:00 - 04/01/2017 23:00","BZN|RO","6735.00","6600.00"
"04/01/2017 23:00 - 05/01/2017 00:00","BZN|RO","6527.00","6400.00"
"05/01/2017 00:00 - 05/01/2017 01:00","BZN|RO","6387.00","6300.00"
"05/01/2017 01:00 - 05/01/2017 02:00","BZN|RO","6361.00","6250.00"
"05/01/2017 02:00 - 05/01/2017 03:00","BZN|RO","6439.00","6300.00"
"05/01/2017 03:00 - 05/01/2017 04:00","BZN|RO","6642.00","6500.00"
"05/01/2017 04:00 - 05/01/2017 05:00","BZN|RO","7051.00","6950.00"
"05/01/2017 05:00 - 05/01/2017 06:00","BZN|RO","7712.00","7680.00"
"05/01/2017 06:00 - 05/01/2017 07:00","BZN|RO","8210.00","8150.00"
"05/01/2017 07:00 - 05/01/2017 08:00","BZN|RO","8442.00","8300.00"
"05/01/2017 08:00 - 05/01/2017 09:00","BZN|RO","8429.00","8300.00"
"05/01/2017 09:00 - 05/01/2017 10:00","BZN|RO","8314.00","8270.00"
"05/01/2017 10:00 - 05/01/2017 11:00","BZN|RO","8268.00","8220.00"
"05/01/2017 11:00 - 05/01/2017 12:00","BZN|RO","8313.00","8230.00"
"05/01/2017 12:00 - 05/01/2017 13:00","BZN|RO","8275.00","8170.00"
"05/01/2017 13:00 - 05/01/2017 14:00","BZN|RO","8239.00","8170.00"
"05/01/2017 14:00 - 05/01/2017 15:00","BZN|RO","8454.00","8350.00"
"05/01/2017 15:00 - 05/01/2017 16:00","BZN|RO","9016.00","8950.00"
"05/01/2017 16:00 - 05/01/2017 17:00","BZN|RO","9117.00","9000.00"
"05/01/2017 17:00 - 05/01/2017 18:00","BZN|RO","8998.00","8920.00"
"05/01/2017 18:00 - 05/01/2017 19:00","BZN|RO","8790.00","8750.00"
