"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|RO","Without Sequence","149.00","",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|RO","Without Sequence","151.00","",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|RO","Without Sequence","140.15","",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|RO","Without Sequence","119.00","",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|RO","Without Sequence","112.03","",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|RO","Without Sequence","123.53","",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|RO","Without Sequence","112.00","",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|RO","Without Sequence","95.00","",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|RO","Without Sequence","96.95","",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|RO","Without Sequence","109.28","",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|RO","Without Sequence","118.67","",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|RO","Without Sequence","117.95","",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|RO","Without Sequence","129.00","",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|RO","Without Sequence","137.06","",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|RO","Without Sequence","149.63","",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|RO","Without Sequence","198.91","",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|RO","Without Sequence","265.00","",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|RO","Without Sequence","271.00","",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|RO","Without Sequence","268.00","",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|RO","Without Sequence","254.00","",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|RO","Without Sequence","240.00","",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|RO","Without Sequence","235.57","",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|RO","Without Sequence","194.57","",""
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|RO","Without Sequence","176.37","",""
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|RO","Without Sequence","119.00","",""
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|RO","Without Sequence","112.79","",""
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|RO","Without Sequence","75.00","",""
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|RO","Without Sequence","50.00","",""
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|RO","Without Sequence","58.61","",""
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|RO","Without Sequence","86.14","",""
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|RO","Without Sequence","102.00","",""
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|RO","Without Sequence","103.70","",""
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|RO","Without Sequence","123.90","",""
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|RO","Without Sequence","149.00","",""
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|RO","Without Sequence","149.00","",""
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|RO","Without Sequence","149.00","",""
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|RO","Without Sequence","150.48","",""
"02/01/2016 13:00:00 - 02/01/2016 14:00:00","BZN|RO","Without Sequence","189.00","",""
"02/01/2016 14:00:00 - 02/01/2016 15:00:00","BZN|RO","Without Sequence","216.00","",""
"02/01/2016 15:00:00 - 02/01/2016 16:00:00","BZN|RO","Without Sequence","240.00","",""
"02/01/2016 16:00:00 - 02/01/2016 17:00:00","BZN|RO","Without Sequence","271.00","",""
"02/01/2016 17:00:00 - 02/01/2016 18:00:00","BZN|RO","Without Sequence","271.00","",""
"02/01/2016 18:00:00 - 02/01/2016 19:00:00","BZN|RO","Without Sequence","262.52","",""
"02/01/2016 19:00:00 - 02/01/2016 20:00:00","BZN|RO","Without Sequence","240.00","",""
"02/01/2016 20:00:00 - 02/01/2016 21:00:00","BZN|RO","Without Sequence","231.10","",""
"02/01/2016 21:00:00 - 02/01/2016 22:00:00","BZN|RO","Without Sequence","176.42","",""
