"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|RO","Without Sequence","260.00","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|RO","Without Sequence","228.00","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|RO","Without Sequence","200.00","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|RO","Without Sequence","149.00","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|RO","Without Sequence","129.00","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|RO","Without Sequence","109.06","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|RO","Without Sequence","70.84","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|RO","Without Sequence","65.92","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|RO","Without Sequence","75.83","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|RO","Without Sequence","96.23","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|RO","Without Sequence","149.00","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|RO","Without Sequence","169.00","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|RO","Without Sequence","200.00","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|RO","Without Sequence","205.82","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|RO","Without Sequence","187.72","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|RO","Without Sequence","200.58","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|RO","Without Sequence","240.58","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|RO","Without Sequence","271.02","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|RO","Without Sequence","271.02","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|RO","Without Sequence","263.26","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|RO","Without Sequence","263.22","",""
