"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RO","Without Sequence","221.96","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RO","Without Sequence","202.71","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|RO","Without Sequence","195.22","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|RO","Without Sequence","179.87","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|RO","Without Sequence","168.00","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|RO","Without Sequence","160.00","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|RO","Without Sequence","135.00","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|RO","Without Sequence","73.12","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|RO","Without Sequence","41.07","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|RO","Without Sequence","101.24","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|RO","Without Sequence","135.00","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|RO","Without Sequence","147.30","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|RO","Without Sequence","141.40","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|RO","Without Sequence","139.00","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|RO","Without Sequence","168.00","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|RO","Without Sequence","209.89","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|RO","Without Sequence","240.45","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|RO","Without Sequence","267.17","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|RO","Without Sequence","268.10","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|RO","Without Sequence","268.09","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|RO","Without Sequence","266.81","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|RO","Without Sequence","251.03","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|RO","Without Sequence","249.81","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|RO","Without Sequence","228.27","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|RO","Without Sequence","214.74","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|RO","Without Sequence","187.66","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|RO","Without Sequence","185.43","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|RO","Without Sequence","180.65","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|RO","Without Sequence","179.58","",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|RO","Without Sequence","181.14","",""
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|RO","Without Sequence","197.48","",""
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|RO","Without Sequence","220.10","",""
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|RO","Without Sequence","241.86","",""
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|RO","Without Sequence","269.89","",""
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|RO","Without Sequence","279.16","",""
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|RO","Without Sequence","278.00","",""
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|RO","Without Sequence","267.82","",""
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|RO","Without Sequence","259.70","",""
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|RO","Without Sequence","267.82","",""
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","BZN|RO","Without Sequence","274.27","",""
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","BZN|RO","Without Sequence","307.26","",""
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","BZN|RO","Without Sequence","328.62","",""
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","BZN|RO","Without Sequence","326.21","",""
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","BZN|RO","Without Sequence","308.98","",""
