"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|RO","Without Sequence","20.00","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|RO","Without Sequence","1.02","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|RO","Without Sequence","1.00","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|RO","Without Sequence","0.50","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|RO","Without Sequence","1.00","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|RO","Without Sequence","0.99","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|RO","Without Sequence","0.16","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|RO","Without Sequence","0.15","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|RO","Without Sequence","0.37","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|RO","Without Sequence","0.49","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|RO","Without Sequence","0.98","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|RO","Without Sequence","1.00","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|RO","Without Sequence","1.00","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|RO","Without Sequence","1.00","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|RO","Without Sequence","10.00","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|RO","Without Sequence","28.10","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|RO","Without Sequence","69.90","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|RO","Without Sequence","104.28","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|RO","Without Sequence","80.00","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|RO","Without Sequence","87.00","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|RO","Without Sequence","59.00","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|RO","Without Sequence","40.00","",""
