"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RO","Without Sequence","160.31","",""
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RO","Without Sequence","145.27","",""
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RO","Without Sequence","136.33","",""
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RO","Without Sequence","130.79","",""
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RO","Without Sequence","126.06","",""
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|RO","Without Sequence","126.63","",""
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|RO","Without Sequence","129.05","",""
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|RO","Without Sequence","130.95","",""
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|RO","Without Sequence","133.76","",""
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|RO","Without Sequence","132.41","",""
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|RO","Without Sequence","112.77","",""
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|RO","Without Sequence","87.00","",""
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|RO","Without Sequence","61.00","",""
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|RO","Without Sequence","68.00","",""
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|RO","Without Sequence","87.00","",""
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|RO","Without Sequence","133.65","",""
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|RO","Without Sequence","182.11","",""
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|RO","Without Sequence","197.07","",""
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|RO","Without Sequence","203.86","",""
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|RO","Without Sequence","201.07","",""
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|RO","Without Sequence","188.80","",""
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|RO","Without Sequence","179.19","",""
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|RO","Without Sequence","170.11","",""
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|RO","Without Sequence","151.00","",""
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|RO","Without Sequence","152.99","",""
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|RO","Without Sequence","150.55","",""
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|RO","Without Sequence","141.75","",""
"02/01/2020 03:00:00 - 02/01/2020 04:00:00","BZN|RO","Without Sequence","143.07","",""
"02/01/2020 04:00:00 - 02/01/2020 05:00:00","BZN|RO","Without Sequence","152.76","",""
"02/01/2020 05:00:00 - 02/01/2020 06:00:00","BZN|RO","Without Sequence","168.00","",""
"02/01/2020 06:00:00 - 02/01/2020 07:00:00","BZN|RO","Without Sequence","207.79","",""
"02/01/2020 07:00:00 - 02/01/2020 08:00:00","BZN|RO","Without Sequence","241.23","",""
"02/01/2020 08:00:00 - 02/01/2020 09:00:00","BZN|RO","Without Sequence","250.40","",""
