"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"03/01/2015 06:00:00 - 03/01/2015 07:00:00","BZN|RO","Without Sequence","200.00","",""
"03/01/2015 07:00:00 - 03/01/2015 08:00:00","BZN|RO","Without Sequence","202.13","",""
"03/01/2015 08:00:00 - 03/01/2015 09:00:00","BZN|RO","Without Sequence","229.00","",""
"03/01/2015 09:00:00 - 03/01/2015 10:00:00","BZN|RO","Without Sequence","248.00","",""
"03/01/2015 10:00:00 - 03/01/2015 11:00:00","BZN|RO","Without Sequence","246.59","",""
"03/01/2015 11:00:00 - 03/01/2015 12:00:00","BZN|RO","Without Sequence","248.00","",""
"03/01/2015 12:00:00 - 03/01/2015 13:00:00","BZN|RO","Without Sequence","248.00","",""
"03/01/2015 13:00:00 - 03/01/2015 14:00:00","BZN|RO","Without Sequence","232.95","",""
"03/01/2015 14:00:00 - 03/01/2015 15:00:00","BZN|RO","Without Sequence","226.00","",""
"03/01/2015 15:00:00 - 03/01/2015 16:00:00","BZN|RO","Without Sequence","229.00","",""
"03/01/2015 16:00:00 - 03/01/2015 17:00:00","BZN|RO","Without Sequence","265.00","",""
"03/01/2015 17:00:00 - 03/01/2015 18:00:00","BZN|RO","Without Sequence","258.00","",""
"03/01/2015 18:00:00 - 03/01/2015 19:00:00","BZN|RO","Without Sequence","248.00","",""
"03/01/2015 19:00:00 - 03/01/2015 20:00:00","BZN|RO","Without Sequence","229.57","",""
"03/01/2015 20:00:00 - 03/01/2015 21:00:00","BZN|RO","Without Sequence","217.56","",""
"03/01/2015 21:00:00 - 03/01/2015 22:00:00","BZN|RO","Without Sequence","180.00","",""
"03/01/2015 22:00:00 - 03/01/2015 23:00:00","BZN|RO","Without Sequence","139.00","",""
"03/01/2015 23:00:00 - 04/01/2015 00:00:00","BZN|RO","Without Sequence","71.97","",""
"04/01/2015 00:00:00 - 04/01/2015 01:00:00","BZN|RO","Without Sequence","108.00","",""
