an,venituri_mil_ron,ebitda_mil_ron,profit_net_mil_ron
2015,3329,2092,899
2016,3396,2243,1228
2017,3288,2259,1315
2018,4351,3123,1939
2019,4177,2934,1387
2020,3850,2711,1452
2021,6699,4669,3086
2022,9452,5985,4464
2023,12160,8016,6365
2024,9123,5503,4128
